price_date,brand,category,description,currency,page,0km,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
,CASE,Tractores Quantum,75n 75cv,u$s,6,51100.0,49100.0,47100.0,45200.0,43400.0,41700.0,40000.0,,,,,,,,,
,CASE,Tractores Quantum,85v 4x4 Roops,u$s,6,56100.0,53900.0,51700.0,49600.0,47600.0,45700.0,43900.0,,,,,,,,,
,CASE,Tractores Quantum,85v 4x4 Cabinado c/3 puntos 85cv,u$s,6,67200.0,64500.0,61900.0,59500.0,57100.0,54800.0,52600.0,,,,,,,,,
,CASE,Tractores Quantum,85f 4x4 Plataformado c/3 puntos 85cv,u$s,6,56100.0,53900.0,51700.0,49600.0,47600.0,45700.0,43900.0,,,,,,,,,
,CASE,Tractores Quantum,85f 4x4 Cabinado c/3 puntos 85cv,u$s,6,67200.0,64500.0,61900.0,59500.0,57100.0,54800.0,52600.0,,,,,,,,,
,CASE,Tractores Farmall,120A - 120cv Synchro 4x4 Plataformado,u$s,6,80400.0,77200.0,74100.0,71100.0,68300.0,65600.0,62900.0,60400.0,,,,,,,,
,CASE,Tractores Farmall,120A - 120cv Synchro 4x4 Cabinado,u$s,6,91600.0,87900.0,84400.0,81000.0,77800.0,74700.0,71700.0,68800.0,,,,,,,,
,CASE,Tractores Farmall,130A - 130cv Synchro 4x4 Plataformado,u$s,6,95600.0,91800.0,88100.0,84600.0,81200.0,78000.0,74800.0,71800.0,,,,,,,,
,CASE,Tractores Farmall,130A - 130cv Synchro 4x4 Cabinado,u$s,6,106800.0,102500.0,98400.0,94500.0,90700.0,87100.0,83600.0,80300.0,,,,,,,,
,CASE,Tractores Farmall,55cv 2.2L 4x2,u$s,6,29400.0,28200.0,27100.0,26000.0,25000.0,24000.0,23000.0,22100.0,,,,,,,,
,CASE,Tractores Farmall,55cv 2.2L 4x4,u$s,6,35400.0,34000.0,32600.0,31300.0,30100.0,28900.0,27700.0,26600.0,,,,,,,,
,CASE,Tractores Farmall,75cv 3.2L 4x2,u$s,6,38800.0,37200.0,35800.0,34300.0,33000.0,31600.0,30400.0,29200.0,28000.0,,,,,,,
,CASE,Tractores Farmall,75cv 3.2L 4x4,u$s,6,44800.0,43000.0,41300.0,39600.0,38100.0,36500.0,35100.0,33700.0,32300.0,,,,,,,
,CASE,Tractores Farmall,80cv 3.9L 12x12 Synchro 4x4,u$s,6,50300.0,48300.0,46400.0,44500.0,42700.0,41000.0,39400.0,37800.0,36300.0,34800.0,33400.0,,,,,
,CASE,Tractores Farmall,90cv 3.9L 12x12 Synchro 4x4 Plataformado,u$s,6,58800.0,56400.0,54200.0,52000.0,49900.0,47900.0,46000.0,,,,,,,,,
,CASE,Tractores Farmall,95cv 3.9L 12x12 Synchro 4x4 Plataformado,u$s,6,,,,,,,,,36000.0,34800.0,33500.0,,,,,
08/01/2026,CASE,Tractores Farmall,95cv 3.9L 12x12 Synchro 4x4 Cabinado,u$s,7,,,,,,,,,41500.0,40300.0,39000.0,,,,,
08/01/2026,CASE,Tractores Farmall,90 - 88cv 3.9hs. 12x12 Synchro cabinado,u$s,7,67500.0,64800.0,62200.0,59700.0,57300.0,55000.0,52800.0,,,,,,,,,
08/01/2026,CASE,Tractores Farmall,100 - 100cv 3.9L 12x12 Synchro 4x4 Plataformado,u$s,7,70700.0,67900.0,65200.0,62600.0,60000.0,57600.0,55300.0,,,,,,,,,
08/01/2026,CASE,Tractores Farmall,100 - 100cv 3.9L 12x12 Synchro 4x4 Cabinado,u$s,7,77200.0,74100.0,71100.0,68300.0,65600.0,62900.0,60400.0,,,,,,,,,
08/01/2026,CASE,Tractores Farmall,100 - 100cv 3.9L 12x12 Synchro c/cargador frontal cabinado,u$s,7,81400.0,78100.0,75000.0,72000.0,69100.0,66400.0,63700.0,,,,,,,,,
08/01/2026,CASE,Tractores Farmall,100 - 100cv 3.9L 12x12 Synchro 4x4 Plataformado,u$s,7,66600.0,63900.0,61400.0,58900.0,56600.0,54300.0,52100.0,,,,,,,,,
08/01/2026,CASE,Tractores Farmall,100 - 100cv 3.9L 12x12 Synchro 4x4 Cabinado,u$s,7,77200.0,74100.0,71100.0,68300.0,65600.0,62900.0,60400.0,,,,,,,,,
08/01/2026,CASE,Tractores Farmall,110 - 110cv 3.9L 12x12 Synchro 4x4 Plataformado,u$s,7,69500.0,66700.0,64100.0,61500.0,59000.0,56700.0,54400.0,,,,,,,,,
08/01/2026,CASE,Tractores Farmall,110 - 110cv 3.9L 12x12 Synchro 4x4 Cabinado,u$s,7,80100.0,76900.0,73800.0,70900.0,68000.0,65300.0,62700.0,,,,,,,,,
08/01/2026,CASE,Tractores Maxxum,135 - 137cv 6.8L 18x6 Semipowershif,u$s,7,,,,,,,,,,,55000.0,,,,,
08/01/2026,CASE,Tractores Maxxum,150 - 149cv 6.7L 15x12 Synchro Cabinado,u$s,7,,,,,,,,,62000.0,60000.0,58000.0,,,,,
08/01/2026,CASE,Tractores Maxxum,150 - 149cv 6.7L 15x12 Synchro Cabinado C/3 P.,u$s,8,,,,,,,,,68000.0,66000.0,64000.0,,,,,
08/01/2026,CASE,Tractores Maxxum,150 -149cv 6.8L 18x6 Semipowershift,u$s,8,,,,,,,,,64000.0,62000.0,60000.0,58000.0,56000.0,54000.0,52000.0,
08/01/2026,CASE,Tractores Maxxum,150 -149cv 6.8L 18x6 Semipowershift Dual,u$s,8,,,,,,,,,65000.0,63000.0,61000.0,59000.0,57000.0,55000.0,53000.0,
08/01/2026,CASE,Tractores Maxxum,150 - 149cv 6.8L 18x6 Semipowershift C/3 P.,u$s,8,,,,,,,,,66000.0,64000.0,62000.0,60000.0,58000.0,56000.0,54000.0,
08/01/2026,CASE,Tractores Maxxum,150 - 149cv 6.8L 18x6 Semipowershift C/3 P. Dual,u$s,8,,,,,,,,,67000.0,65000.0,63000.0,61000.0,59000.0,57000.0,55000.0,
08/01/2026,CASE,Tractores Maxxum,165 - 168cv 6.8L 18x6 Semipowershift,u$s,8,,,,,,,,,72000.0,69000.0,66000.0,63000.0,60000.0,57000.0,54000.0,
08/01/2026,CASE,Tractores Maxxum,165 - 168cv 6.8L 18x6 Semipowershift Dual,u$s,8,,,,,,,,,73000.0,70000.0,67000.0,64000.0,61000.0,58000.0,55000.0,
08/01/2026,CASE,Tractores Maxxum,165 - 168cv 6.8L 18x6 Semipowershift C/3 P.,u$s,8,,,,,,,,,74000.0,71000.0,68000.0,65000.0,62000.0,59000.0,56000.0,
